id,item_group_id,title,description,link,image_link,price,availability,condition,google_product_category,product_type,additional_image_link,brand,shipping,custom_label_0
1,Honey-1,100% Pure Raw New Zealand Manuka Honey Unpasteurized Unfiltered Glass Jar Superfood-USA tested and poured for authenticity-Free Priority Shipping,"Alpha Manuka has been sourced from a New Zealand producer that exceeds certification standards and is a champion among Manuka Honey producers. USA tested, USA packed for quality and purity.",https://www.etsy.com/AlphaHoneyHealth/listing/746165639/100-pure-raw-manuka-honey-unpasteurized?utm_source=Copy&utm_medium=ListingManager&utm_campaign=Share&utm_term=so.lmsm&share_time=1596288380230,https://i.etsystatic.com/21435983/r/il/aa0bb6/2373746491/il_fullxfull.2373746491_68lq.jpg,25,in stock,new,Health & Beauty,Health & Beauty,https://i.etsystatic.com/21435983/r/il/145f10/2410734203/il_fullxfull.2410734203_gb87.jpg,Alpha Honey Health,USPS Priority -Free,Bestseller
2,Skin-1,Intensely Healing Body Butter Manuka Honey & Royal Jelly thick cocoa and shea moisturizer,"Manuka and Royal Jelly infused Body Butter:  Natural skin care- choose your own scent or no scent.  Great for:  anti agingâ thick long lasting moisturizer, eczemaâ antioxidantâ moisturizing creamâ all skin types â moisturizing , for radiant a glowing skin , hydrating day and night cream",https://www.etsy.com/AlphaHoneyHealth/listing/780627039/manuka-honey-royal-jelly-moisturizer?utm_source=Copy&utm_medium=ListingManager&utm_campaign=Share&utm_term=so.lmsm&share_time=1596289953373,https://i.etsystatic.com/21435983/r/il/a659f2/2285790312/il_fullxfull.2285790312_pcbi.jpg,16.99,in stock,new,Health & Beauty,Health & Beauty,https://i.etsystatic.com/21435983/r/il/f62ce4/2363609513/il_fullxfull.2363609513_eikp.jpg,Alpha Honey Health,USPS Priority -Free,Exclusive
3,Honey-2,"3 Jar Manuka, Royal Jelly & Organic Rainforest Honey -3 Superfood Raw Honeys-Manuka-Royal Jelly with Manuka -Manuka Organic Blend",3 Jar Set Includes all 3 gourmet and Superfood honeys:  1. 100% New Zealand Manuka Honey (83+ MGO); 2. Hanuka Manuka Blend of our New Zealand Manuka and Wild Brazilian Organic Honey; 3. Royal Hanuka Manuka-Royal Jelly Manuka and Organic Honey Blend- most powerful.,https://www.etsy.com/AlphaHoneyHealth/listing/732313164/3-jar-manuka-royal-jelly-organic?utm_source=Copy&utm_medium=ListingManager&utm_campaign=Share&utm_term=so.lmsm&share_time=1596290170734,https://i.etsystatic.com/21435983/r/il/c1537c/2264898144/il_fullxfull.2264898144_5kff.jpg,49.99,in stock,new ,Health & Beauty,Health & Beauty,https://i.etsystatic.com/21435983/r/il/b64029/2363362005/il_fullxfull.2363362005_onat.jpg,Alpha Honey Health,USPS Priority -Free,Gift Set
4,Skin-2,Glowing Skin 2 Manuka Honey & Royal Jelly Lightweight Aloe Serums- wear all day skincare,"UNIQUELY NATURAL AND GLOWING FACE MOISTURIZER: Discount 2 Jar Pack! Choose from multiple essential oil scents or fragrance free option. Packed with high quality best honey in the world âManuka honeyâ contains minerals and vitamins; improved hydration helps with wrinkles, fine lines and makes the skin glow. Highly concentrated moisturizer will last on average 30 days with daily use (twice per day use)! Our most exclusive Organic Aloe Vera and Coconut Oil based moisturizer is infused with medicinal grade MGO 83+ Manuka Honey and Pure Royal Jelly to repair, brighten, and promote youthful radiant skin growth.  Free Fast Shipping by Priority Mail",https://www.etsy.com/AlphaHoneyHealth/listing/774401648/2-jars-pure-royal-jelly-manuka-honey?utm_source=Copy&utm_medium=ListingManager&utm_campaign=Share&utm_term=so.lmsm&share_time=1596291404435,https://i.etsystatic.com/21435983/r/il/ce9b7c/2312479447/il_fullxfull.2312479447_oay2.jpg,27.99,in stock,new,Health & Beauty,Health & Beauty,https://i.etsystatic.com/21435983/r/il/0485da/2333665493/il_fullxfull.2333665493_qffi.jpg,Alpha Honey Health,USPS Priority -Free,Value Pack
6,Skin-3,Glowing Skin Manuka Essential Oil Beauty Face Wash and Makeup Removal  Choose your scent or no scent,"MANUKA FLOWER ESSENTIAL OIL: POWERFUL ANTIOXIDANT AND ANTIBACTERIAL FACE WASH. Choose from several essential oil based scents or no fragrance options.  Packed with minerals and vitamins; improved hydration helps with wrinkles, fine lines and makes the skin glow. This silky smooth foaming face wash is made with a very rare antimicrobial and antioxidant rich Manuka bush essential oil.  Pure manuka oil is extracted from the remotely growing Leptospermum scoparium bush in New Zealand (the same plant Manuka Honey is made from). Research has indicated that Manuka oils prevent skin aging and photo/sun damage from harmful UV rays.  ",https://www.etsy.com/AlphaHoneyHealth/listing/736334642/glowing-skin-manuka-essential-oil-beauty?utm_source=Copy&utm_medium=ListingManager&utm_campaign=Share&utm_term=so.lmsm&share_time=1596291710444,https://i.etsystatic.com/21435983/r/il/90780e/2298470740/il_fullxfull.2298470740_4wjx.jpg,14,in stock,new,Health & Beauty,Health & Beauty,https://i.etsystatic.com/21435983/r/il/b18681/2315765928/il_fullxfull.2315765928_ju0e.jpg,Alpha Honey Health,USPS Priority -Free,Exclusive
8,Skin-4,Summer Glow Manuka Honey & Royal Jelly Lightweight Aloe Face Cream Choose your scent,"New Zealand Manuka Honey  Aloe Vera and Pure Royal  Jelly Face Moisturizer.  Packed with high quality best honey in the world, Manuka honey, contains minerals and vitamins; improved hydration helps with wrinkles, fine lines and makes the skin glow. Added bonus of exclusive Royal Jelly for skin rejuvenation and regrowth. Get rid of the need for a ton of  skin care products with an all in one skin care moisturizer! Within 30 days of consistent use most customers report needing less products and little to no make-up (especially foundations). Great for men too! Easy to use - all- in - one- all - you need face moisturizer. Keep your skin healthy and glowing naturally with Manuka Honey, Royal Jelly, Aloe Vera, and Coconut Oil! Choose your Essential Oil Scent or no Fragrance option.",https://www.etsy.com/AlphaHoneyHealth/listing/780281239/summer-glow-manuka-honey-royal-jelly?utm_source=Copy&utm_medium=ListingManager&utm_campaign=Share&utm_term=so.lmsm&share_time=1596292020850,https://i.etsystatic.com/21435983/r/il/3b6c2e/2333404977/il_fullxfull.2333404977_cqbl.jpg,16.99,In stock,New,Health & Beauty,Health & Beauty,https://i.etsystatic.com/21435983/r/il/e56933/2364105210/il_fullxfull.2364105210_dd06.jpg,Alpha Honey Health,USPS Priority -Free,Bestseller
9,Honey-3,2 Jar Hanuka Manuka Honey: Manuka and Rainforest Raw Honey ~Pure Naturally Sweet Superfood Plant Based -Free shipping,2 Jar Value Pack! Award winning taste with the power of pure unfiltered unpasteurized straight from the hive Organic Rainforest Honey from Brazil and Pure Raw New Zealand Manuka Honey. This raw pure honey blend gives you the best of both hemispheres full of antioxidants and health benefits. Use as an immune and energy boost or as a healthy alternative to any sweeter-Free Fast Shipping by Priority Mail,https://www.etsy.com/AlphaHoneyHealth/listing/791657187/2-jar-hanuka-manuka-honey-manuka-and?utm_source=Copy&utm_medium=ListingManager&utm_campaign=Share&utm_term=so.lmsm&share_time=1596292280450,https://i.etsystatic.com/21435983/r/il/08fe58/2312416431/il_fullxfull.2312416431_sqwx.jpg,29.99,In stock,New,Health & Beauty,Health & Beauty,https://i.etsystatic.com/21435983/r/il/258a53/2363347473/il_fullxfull.2363347473_i3yk.jpg,Alpha Honey Health,USPS Priority -Free,Value Pack
10,Skin-5,Glowing Skin Manuka Honey & Royal Jelly Deep Cocoa and Shea Butter Moisturizer Choose your scent or Fragrance Free Option,"UNIQUE AND NATURALLY HYDRATING BODY BALM FOR BODY OR FACE: NEW ZEALAND MANUKA HONEY INFUSED WITH PURE ROYAL JELLY. Shea Butter and Cocoa Butter Base. Designed originally for multi-day endurance racers exposed to extreme environmental elements to protect and restore skin. Use daily, great for hands-can be used on face or areas of skin dryness. Repairs crepe-paper like skin texture immediately. Choose your Essential Oil Scent or Fragrance free option! Fast Free Priority Shipping",https://www.etsy.com/AlphaHoneyHealth/listing/736336826/glowing-skin-manuka-honey-royal-jelly?utm_source=Copy&utm_medium=ListingManager&utm_campaign=Share&utm_term=so.lmsm&share_time=1596294149861,https://i.etsystatic.com/21435983/r/il/2bf14b/2285762368/il_fullxfull.2285762368_tfi8.jpg,16.99,In stock,New,Health & Beauty,Health & Beauty,https://i.etsystatic.com/21435983/r/il/0ea9b0/2333652489/il_fullxfull.2333652489_r5io.jpg,Alpha Honey Health,USPS Priority -Free,Bestseller
11,Honey-4,Hanuka Manuka: Raw Honey 100% Natural Manuka & Organic Rainforest Honey Real Active Manuka Antibacterial Healthy  No additives~Free Shipping,"Hanuka Manuka:  Pure New Zealand Raw Manuka Honey and ORGANIC BRAZILIAN Honey, Perfect Blend of our reserve quality MGO 83 Manuka Honey &  an award winning Organic and Fair Trade Wild Brazilian Honey. Santa Catarina Honey from Brazil wins internationally (5 consecutive years) for taste and quality of organic honey-2019:  The honey produced in Santa Catarina has been awarded the title of the best honey in the world during the 46th Congress of the International Association of Beekeepers' Federations (APIMONDIA), held between September 8th and 12th in Canada. Unique Africanized bee species (hybrid Killer bees) and stingless endangered bees of Brazil produce unique antioxidant rich honey to give the best. The award winning floral taste dominates this honey with a uniquely rich flavor combination. Free Fast Shipping by Priority Mail",https://www.etsy.com/AlphaHoneyHealth/listing/736409056/manuka-honey-pure-rainforest-honey-100?utm_source=Copy&utm_medium=ListingManager&utm_campaign=Share&utm_term=so.lmsm&share_time=1596294311068,https://i.etsystatic.com/21435983/r/il/d3a13b/2333283901/il_fullxfull.2333283901_9dw4.jpg,16.99,In stock,New,Health & Beauty,Health & Beauty,https://i.etsystatic.com/21435983/r/il/9a64f8/2330125367/il_fullxfull.2330125367_kaym.jpg,Alpha Honey Health,USPS Priority -Free,Limited Time
12,Skin-6,Manuka Tea Tree Oil Beauty Face Wash-Choose your scent or No Fragrance Option,"Manuka Tea Tree Oil Foaming Face Wash, Great for All Skin Types-30 Day Concentrated Supply of Face Wash.  Packed with high concentrations of minerals and vitamins; improved hydration helps with wrinkles, fine lines and makes the skin glow. Gentle Foaming, Manuka Tree Oil Face and Body Wash. Manuka Tree Oil is 30X's more powerful than Tea Tree Oils! Will not dry you out! Gentle foaming, highly concentrated. Great for acne, makeup removal, natural antibacterial. Leave skin feeling squeaky clean. Choose from multiple essential oil scents or Fragrance free options.  Free fast Priority Shipping.",https://www.etsy.com/AlphaHoneyHealth/listing/766413320/manuka-tea-tree-oil-beauty-face-washfree?utm_source=Copy&utm_medium=ListingManager&utm_campaign=Share&utm_term=so.lmsm&share_time=1596294607165,https://i.etsystatic.com/21435983/r/il/4f0f98/2333387645/il_fullxfull.2333387645_2whq.jpg,14.9,In stock,New,Health & Beauty,Health & Beauty,https://i.etsystatic.com/21435983/r/il/ceba9a/2333385997/il_fullxfull.2333385997_2ymb.jpg,Alpha Honey Health,USPS Priority -Free,Bestseller
13,Skin-7,Summer Sexy Legs Manuka Honey & Royal Jelly Deep Balm Moisturizer -Choose your Scent,"Manuka Honey Intensely Hydrating! Highly concentrated formula lasts over 30 days with daily use (a little bit of this goes a long way!) Royal Jelly exclusive skin restoring vitamins and minerals. Packed with high quality best honey in the world âManuka honey âcontains minerals and vitamins; improved hydration helps with wrinkles, fine lines and makes the skin glow. Shea & Cocoa Butter Base for all day wear. Great for after sun or outdoor beach exposure! Fixes the most dry and cracked skin with the natural healing and restoring power of honey and royal jelly. Great winter and chapped hand fixer upper. Works great for eczema and sensitive hands. Beautiful Essential Oil Fragrance Choices and Fragrance Free option.  Free Fast Priority Shipping.",https://www.etsy.com/AlphaHoneyHealth/listing/766410736/summer-sexy-legs-manuka-honey-royal?utm_source=Copy&utm_medium=ListingManager&utm_campaign=Share&utm_term=so.lmsm&share_time=1596294817348,https://i.etsystatic.com/21435983/r/il/f136e3/2231710226/il_fullxfull.2231710226_p4bn.jpg,16.9,In stock,New,Health & Beauty,Health & Beauty,https://i.etsystatic.com/21435983/r/il/f143ed/2346082047/il_fullxfull.2346082047_t70r.jpg,Alpha Honey Health,USPS Priority -Free,Exclusive
14,Honey-5,2 Royal Jelly & Manuka + Rainforest Organic Honey- Sweet Superfood Healthy ~Free Priority Shipping,"2 Jars of Royal Jelly and Manuka Organic Blend Honey Super Sale:  Pure Royal Jelly Queen Bee Superfood with already powerful New Zealand Manuka Honey MGO83+ & Brazilian Rainforest Pure Raw Unfiltered Honey. All Bee products nothing added straight from the hive. A sweet honey with a tangy superfood royal jelly, 100% natural all bee products:  Great Energy Booster, Great for Post Workout, Natural source of Vitamins and Minerals like Zinc, Magnesium and B complex, Anti-Inflammatory, Antioxidant Rich, Raw, Pure, Simple:  Real Food.  Free Fast Priority Shipping.",https://www.etsy.com/AlphaHoneyHealth/listing/793288909/limited-time-sale-2-royal-jelly-manuka?utm_source=Copy&utm_medium=ListingManager&utm_campaign=Share&utm_term=so.lmsm&share_time=1596294958005,https://i.etsystatic.com/21435983/r/il/3c20b7/2373758953/il_fullxfull.2373758953_bu37.jpg,40.99,In stock,New,Health & Beauty,Health & Beauty,https://i.etsystatic.com/21435983/r/il/67acb0/2373751583/il_fullxfull.2373751583_dhtp.jpg,Alpha Honey Health,USPS Priority -Free,Sale
15,Skin-8,2 Jars: Pure Royal Jelly & Manuka Honey Moisturizer-Body Balm thick deep moisturizer with shea and cocoa butter~ Free Priority Shipping,"2 Jars of our Royal Jelly and Manuka Honey Deep Moisturizing Cream. Packed with high quality best honey in the worldâ Manuka honeyâ contains minerals and vitamins; improved hydration helps with wrinkles, fine lines and makes the skin glow. Royal Jelly for skin rejuvenation. New Zealand Manuka Honey for ultimate skin protection and hydration. Coupled with the soothing creamy texture of she and cocoa butter. 2 jars: 100g size each-Highly concentrated-lasts up to 30 days with daily use for each jar! Free Fast Shipping by Priority Mail Choose your Essential Oil Scent or No Fragrance options!",https://www.etsy.com/AlphaHoneyHealth/listing/774401648/2-jars-pure-royal-jelly-manuka-honey?utm_source=Copy&utm_medium=ListingManager&utm_campaign=Share&utm_term=so.lmsm&share_time=1596295399295,https://i.etsystatic.com/21435983/r/il/10d057/2264881992/il_fullxfull.2264881992_77as.jpg,,In stock,New,Health & Beauty,Health & Beauty,https://i.etsystatic.com/21435983/r/il/53aa30/2264732800/il_fullxfull.2264732800_tbsv.jpg,Alpha Honey Health,USPS Priority -Free,Sale
16,Honey-6,100% Natural Manuka Honey Real Active Manuka Antibacterial Healthy No Additives ~Free Priority Shipping,"Reserve Quality New Zealand Manuka MGO 83+ tested in USA for bioactivity authenticity and exceeds 83+ standards (batches range from 91-120 MGO levels). Alpha Manuka has been sourced from a New Zealand producer that exceeds certification standards and is a champion among Manuka Honey producers. Alpha Honey Manuka is an exclusive reserve with a high quality, much more intense full-flavor Manuka. Manuka is used both medicinally and as gourmet food. Sharply nutty flavor with earthy tones, this is a caramel thick full bodied honey. Free Fast Shipping by Priority Mail",https://www.etsy.com/AlphaHoneyHealth/listing/750280415/100-natural-manuka-honey-real-active?utm_source=Copy&utm_medium=ListingManager&utm_campaign=Share&utm_term=so.lmsm&share_time=1596295628515,https://i.etsystatic.com/21435983/r/il/785175/2373746993/il_fullxfull.2373746993_cux9.jpg,25,In stock,New,Health & Beauty,Health & Beauty,https://i.etsystatic.com/21435983/r/il/928744/2363344525/il_fullxfull.2363344525_cd5x.jpg,Alpha Honey Health,USPS Priority -Free,Bestseller
